--- [LOG] Fill Buffer for Core 0 @ Cycle:3148   ---
Buffer Size: 256 | Count: 256 | Head: 2 | Tail: 2
[167] PC: 0x004f0602 | OpNum: 170        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[168] PC: 0x004f0602 | OpNum: 171        | H2P: X | Disasm: IST      r8(RSP),r15(R14) 8@7fffffffd9c8     
[169] PC: 0x004f0604 | OpNum: 172        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[170] PC: 0x004f0604 | OpNum: 173        | H2P: X | Disasm: IST      r8(RSP),r14(R13) 8@7fffffffd9c0     
[171] PC: 0x004f0606 | OpNum: 174        | H2P: X | Disasm: LOGIC    r14(R13),r24(ZPS) <- r14(R13)       
[172] PC: 0x004f0609 | OpNum: 175        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[173] PC: 0x004f0609 | OpNum: 176        | H2P: X | Disasm: IST      r8(RSP),r13(R12) 8@7fffffffd9b8     
[174] PC: 0x004f060b | OpNum: 177        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[175] PC: 0x004f060b | OpNum: 178        | H2P: X | Disasm: IST      r8(RSP),r5(RBP) 8@7fffffffd9b0      
[176] PC: 0x004f060c | OpNum: 179        | H2P: X | Disasm: LOGIC    r5(RBP),r24(ZPS) <- r5(RBP)         
[177] PC: 0x004f060e | OpNum: 180        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[178] PC: 0x004f060e | OpNum: 181        | H2P: X | Disasm: IST      r8(RSP),r2(RBX) 8@7fffffffd9a8      
[179] PC: 0x004f060f | OpNum: 182        | H2P: X | Disasm: MOV      r2(RBX) <- r7(RDI)                  
[180] PC: 0x004f0611 | OpNum: 183        | H2P: X | Disasm: IADD     r8(RSP),r24(ZPS) <- r8(RSP)         
[181] PC: 0x004f0615 | OpNum: 184        | H2P: X | Disasm: ILD      r1(RAX) 1@009eddf0                  
[182] PC: 0x004f061c | OpNum: 185        | H2P: X | Disasm: IST      r8(RSP),r1(RAX) 1@7fffffffd997      
[183] PC: 0x004f0620 | OpNum: 186        | H2P: X | Disasm: ICMP     r24(ZPS) <- r7(RDI)                 
[184] PC: 0x004f0623 | OpNum: 187        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
